user_input,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness,factual_mismatch,answerable
Qual è la definizione di operatore?,"L'operatore è definito come la persona responsabile della cura e dell'alimentazione degli animali e degli ambienti in cui vivono. Gli addetti possono essere il proprietario, il detentore o il custode degli animali e possono lavorare a tempo pieno o parziale. È importante notare che non si considerano come addetti coloro che operano esclusivamente nei campi o i tecnici, nel caso di filiere integrate.",Per operatore si intende una persona fisica o giuridica che ha la responsabilità di animali o prodotti. Non sono considerati operatori i detentori di animali da compagnia e i veterinari.,0.8889,0.4474,0.5494,1.0,0.1989,OK,True
Qual è la definizione di delegato?,"Un delegato è una persona designata da un operatore (come un allevatore) per svolgere determinate funzioni o compiti in sua vece. Nel contesto del sistema ClassyFarm, il delegato può essere nominato da un singolo operatore o da più operatori e deve comunicare eventuali cessazioni della delega. Per ulteriori dettagli, è possibile consultare il sito [www.classyfarm.it](http://www.classyfarm.it).",Il delegato è una figura delegata da un operatore che ha solo la possibilità di visualizzare i cruscotti degli allevamenti afferenti all’operatore delegante.,0.8333,0.5982,0.3333,0.0,0.3466,OK,True
Come richiedo il profilo da operatore?,"Per richiedere il profilo da operatore nel sistema ClassyFarm, segui questi passaggi:

1. **Collegati al sito**: Vai su www.classyfarm.it.
2. **Naviga nella sezione**: Seleziona ""Operatore e delegati"" per accedere alle informazioni specifiche per gli operatori.
3. **Scarica il modulo**: Clicca sul link ""Richiesta di registrazione ClassyFarm"" per scaricare il modulo necessario.
4. **Compila il modulo**: Inserisci i tuoi dati, tra cui nome, cognome, codice fiscale, e-mail (NO PEC), telefono cellulare, e la tua Username Vetinfo (se ne possiedi una, altrimenti richiedila contestualmente).
5. **Invia la richiesta**: Una volta compilato e firmato il modulo, invialo direttamente all'indirizzo email [EMAIL_RIMOSSO].

Assicurati di seguire le modalità e la documentazione necessaria indicate nella sezione ""OPERATORE E SUOI DELEGATI"" sul sito.","Per richiedere il profilo da operatore è necessario redigere una richiesta e inviarla a info@classyfarm.it. Le modalità e i documenti necessari sono disponibili nella sezione ""operatore e delegato"" del sito classyfarm.it.",1.0,0.7712,1.0,1.0,0.3257,EMAIL_MISMATCH,True
Come seleziono l’azienda?,"Per selezionare un'azienda nel sistema integrato «ClassyFarm», segui questi passaggi:

1. **Seleziona l'opzione «Selezione Azienda»** per associare il tuo profilo all'allevamento.
2. **Clicca su «Nuovo Allevamento»**.
3. **Inserisci il codice aziendale** (ad esempio, 001XX001) e fai clic su «Verifica». Questo permetterà al sistema di recuperare automaticamente i dati dell'allevamento.
4. **Clicca su «Dettagli»** per visualizzare le informazioni relative all'allevamento, come la ragione sociale, la partita IVA e l'indirizzo. (Nota: se hai un veterinario aziendale, questo passaggio non è necessario).
5. **Seleziona la checklist** che deve essere compilata per l'allevamento scelto.

Dopo aver completato questi passaggi, potrai procedere con l'inserimento della checklist per il benessere dei riproduttori.","Per selezionare l’azienda bisogna cliccare su ""Selezione azienda"", poi su ""Nuovo allevamento"", inserire il codice aziendale e cliccare ""Verifica"". Successivamente si selezionano uno o più disciplinari, si inserisce la data di presentazione della domanda, si carica il file PDF della ""Domanda di certificazione"" e si clicca su ""Conferma"" e di nuovo su ""Conferma"" nella finestra che appare.",1.0,0.7022,0.6428,1.0,0.813,OK,True
"Non riesco a visualizzare il cruscotto, cosa devo fare?","Dopo 48 ore, sarà possibile accedere al cruscotto interattivo: selezionare ""Dashboard"".","Per visualizzare il cruscotto è necessario cliccare su ""Dashboard"". Il cruscotto interattivo è visibile solo dopo 48 ore dall’associazione.",1.0,0.5545,0.637,1.0,0.9542,OK,True
Come faccio ad associare un valutatore?,"Per associare un Valutatore, segui questi passaggi:

1. **Seleziona l'opzione** «Selezione Valutatore».
2. **Inserisci il codice fiscale** del Valutatore che desideri associare.
3. **Clicca su «Cerca»**. 
   - Se il Valutatore è già abilitato in ClassyFarm, il sistema troverà una corrispondenza e potrai selezionarlo dal menu a tendina.
   - Se il Valutatore non è abilitato, potrai comunque associarlo creando un'utenza.
4. **Conferma l'associazione** cliccando su ""Conferma"". Apparirà una finestra in cui sarà necessario confermare nuovamente.

Ricorda che il Valutatore può essere associato all'azienda immediatamente oppure in un secondo momento.","Per associare un valutatore bisogna aver effettuato l’accesso come organismo di certificazione, cliccare su ""Selezione Valutatore"", inserire il codice fiscale del valutatore da associare e cliccare su ""Cerca"". Se il valutatore è già abilitato in ClassyFarm il sistema lo trova e va selezionato dal menù a tendina; se non è ancora abilitato è possibile associarlo creandogli un’utenza.",1.0,0.8851,0.875,1.0,0.9404,OK,True
Come faccio a finire un esito di valutazione che non avevo terminato?,"Per finire un esito di valutazione che non avevi terminato, segui questi passaggi:

1. Clicca su «Esito Valutazione».
2. Individua la specie di interesse e clicca su di essa.
3. Seleziona «Storico» per visualizzare gli esiti salvati.
4. Trova l'esito della valutazione salvato in bozza che desideri completare.
5. Clicca su «Modifica» per riprendere la compilazione.
6. Completa le informazioni necessarie e assicurati di salvare nuovamente l'esito della valutazione in bozza se non desideri inviarlo immediatamente.

Ricorda che se l'esito della valutazione è stato salvato come bozza, puoi continuare a modificarlo fino a quando non decidi di registrarlo ufficialmente.","Se l’esito è stato salvato in bozza, per riprendere la compilazione bisogna cliccare su ""Esito valutazione"", individuare la specie di interesse, cliccare il relativo tasto e successivamente ""Storico"". Poi si individua l’esito di valutazione da modificare, si clicca ""Modifica"" e, per completare e inviare, si clicca su ""Completa il questionario"".",0.7778,0.7318,0.7407,1.0,0.9322,OK,True
Come faccio a continuare una compilazione di checklist di valutazione salvata in bozza?,"Per continuare la compilazione di una checklist di valutazione salvata in bozza, segui questi passaggi:

1. Clicca su «Compilazione Checklist (Nuovo)».
2. Individua il disciplinare di interesse e clicca su di esso.
3. Seleziona «Storico».

A questo punto, per continuare la compilazione, fai clic su ""Modifica"". Questo ti permetterà di riprendere la checklist salvata come bozza.","Se il questionario è stato salvato in bozza, per riprendere la compilazione bisogna cliccare su ""Compilazione checklist (nuovo)"", individuare il disciplinare di interesse e cliccare ""Storico"". Poi si individua il questionario da modificare, si clicca ""Modifica"", si completa la bozza e per terminare e inviare il questionario si clicca su ""Completa il questionario"".",1.0,0.9181,0.8755,0.5,0.6975,OK,True
Come faccio a scaricare il report SQNBA?,"Per scaricare il report SQNBA, segui questi passaggi:

1. Completa la compilazione del questionario.
2. Dopo aver completato il questionario, clicca su «Report SQNBA» per procedere con il download del report.

In alternativa, se desideri visualizzare il report in un altro modo, puoi seguire questi passaggi:

1. Accedi a «Trasmissione Checklist (Nuovo)».
2. Clicca su «Azioni» e poi su «Storico».
3. Seleziona il controllo di interesse e clicca su «Azioni».
4. Scorri fino in fondo alla pagina e clicca su «Salva PDF» per scaricare il report.

Ricorda che questa modalità di download del report è temporanea; in futuro, il report sarà nuovamente scaricabile dal cruscotto.","Per scaricare il report di un questionario compilato bisogna cliccare su ""Report SQNBA"", scegliere il questionario di interesse e scaricare il report desiderato: per le sole risposte non conformi cliccare ""Download PDF risposte non conformi"", per tutte le risposte cliccare ""Download PDF con tutte le risposte"". Se si seleziona un questionario contenente file viene creato un file ZIP, se il questionario non contiene file viene scaricato un PDF.",1.0,0.9047,0.8819,0.5,0.376,OK,True
Cosa si intende per OdC?,"Il contesto documentale recuperato non fornisce una definizione specifica per ""OdC"". Ti consiglio di consultare ulteriori risorse o documenti pertinenti per ottenere informazioni dettagliate su questo termine. Se hai bisogno di ulteriori chiarimenti o di assistenza, non esitare a chiedere.",OdC si intende l’organismo di certificazione.,0.3333,0.0,,0.0,0.1352,OK,True
